cod_ibge;integrado_snt
3534609;SIM
3534708;SIM
3534807;NÃO
3534757;SIM
3534906;NÃO
3535002;SIM
3535101;SIM
3535200;SIM
3535309;NÃO
3535408;SIM
3535507;SIM
3535606;SIM
3535804;SIM
3535903;NÃO
3536000;SIM
3535705;SIM
3536109;SIM
3536208;SIM
3536257;SIM
3536307;SIM
3536406;SIM
3536570;NÃO
3536604;SIM
3536505;SIM
3536703;SIM
3536802;NÃO
3536901;SIM
3537008;SIM
3537107;SIM
3537156;NÃO
3537206;SIM
3537305;SIM
3537404;SIM
3537503;NÃO
3537602;SIM
3537701;NÃO
3537800;SIM
3537909;SIM
3538006;SIM
3538105;SIM
3538204;SIM
3538303;NÃO
3538501;SIM
3538600;SIM
3538709;SIM
3538808;SIM
3538907;SIM
3539004;NÃO
3539103;SIM
3539202;SIM
3539301;SIM
3539400;NÃO
3539509;SIM
3539608;SIM
3539707;NÃO
3539905;SIM
3540002;NÃO
3540101;NÃO
3540200;SIM
3540259;SIM
3540309;SIM
3540408;SIM
3540507;SIM
3540606;SIM
3540705;SIM
3540754;SIM
3540804;SIM
3539806;SIM
3540853;SIM
3540903;SIM
3541000;SIM
3541059;NÃO
3541109;NÃO
3541208;SIM
3541307;SIM
3541406;SIM
3541505;SIM
3541604;SIM
3541653;NÃO
3541703;SIM
3541802;NÃO
3541901;SIM
3542008;NÃO
3542107;SIM
3542206;SIM
3542305;NÃO
3542404;NÃO
3542503;NÃO
3542602;SIM
3542701;NÃO
3542800;NÃO
3542909;NÃO
3543006;SIM
3543105;NÃO
3543253;SIM
3543303;SIM
3543402;SIM
3543204;NÃO
3543238;NÃO
3543600;SIM
3543709;NÃO
3543808;SIM
3543907;SIM
3544103;SIM
3544004;SIM
3544202;SIM
3543501;SIM
3544251;SIM
3544301;NÃO
3544509;SIM
3544400;NÃO
3544608;NÃO
3544707;SIM
3544806;NÃO
3544905;NÃO
3545001;SIM
3545100;NÃO
3545159;SIM
3545209;SIM
3545407;NÃO
3545308;SIM
3545506;NÃO
3545605;NÃO
3545704;NÃO
3546009;SIM
3545803;SIM
3546108;SIM
3546207;SIM
3546256;NÃO
3546306;SIM
3546405;SIM
3546504;SIM
3546603;SIM
3546702;SIM
3546801;SIM
3546900;NÃO
3547007;NÃO
3547106;NÃO
3547403;NÃO
3547502;SIM
3547601;SIM
3547650;SIM
3547205;NÃO
3547304;SIM
3547700;SIM
3547809;SIM
3547908;NÃO
3548005;SIM
3548054;NÃO
3548104;SIM
3548203;SIM
3548302;NÃO
3548500;SIM
3548401;NÃO
3551108;SIM
3551207;NÃO
3551306;SIM
3551405;NÃO
3551603;SIM
3551504;SIM
3551702;SIM
3551801;SIM
3551900;SIM
3552007;SIM
3552106;SIM
3552205;SIM
3552304;SIM
3552403;SIM
3552502;SIM
3552551;SIM
3548609;NÃO
3548708;SIM
3548807;SIM
3548906;SIM
3549003;NÃO
3549409;SIM
3549508;NÃO
3549607;NÃO
3549706;SIM
3549805;SIM
3549904;SIM
3549102;SIM
3549201;SIM
3549250;SIM
3549300;NÃO
3549953;SIM
3550001;SIM
3550100;SIM
3550209;SIM
3550308;SIM
3550407;SIM
3550506;NÃO
3550605;SIM
3550704;SIM
3550803;NÃO
3550902;SIM
3551009;SIM
3552601;SIM
3552700;NÃO
3552809;SIM
3552908;SIM
3553005;SIM
3553104;NÃO
3553203;NÃO
3553302;SIM
3553401;SIM
3553609;NÃO
3553500;SIM
3553658;NÃO
3553708;SIM
3553807;SIM
3553856;SIM
3553906;NÃO
3553955;SIM
3554003;SIM
3554102;SIM
3554201;NÃO
3554300;SIM
3554409;SIM
3554508;SIM
3554607;NÃO
3554656;SIM
3554706;SIM
3554755;NÃO
3554805;SIM
3554904;SIM
3554953;NÃO
3555109;SIM
3555000;SIM
3555208;NÃO
3555307;SIM
3555356;NÃO
3555406;SIM
3555505;NÃO
3555604;SIM
3555703;SIM
3555901;NÃO
3556008;SIM
3555802;SIM
3556107;NÃO
3556206;SIM
3556305;SIM
3556354;SIM
3556453;SIM
3556404;SIM
3556602;NÃO
3556701;SIM
3556800;SIM
3556909;SIM
3556958;SIM
3557006;SIM
3557105;SIM
3556503;SIM
3557154;NÃO
3500402;SIM
3500501;SIM
3500550;SIM
3500600;SIM
3501202;SIM
3501301;NÃO
3501400;NÃO
3533809;SIM
