cod_ibge,nome,variavel,populacao_estimada,integrado_snt,p_value,tau
3505609,Barrinha,Óbitos totais,33181,Não,0.19687582164315165,-0.09480839619994118
3505708,Barueri,Óbitos totais,330339,Sim,0.8142231693462875,0.01570892113773458
3505807,Bastos,Óbitos totais,21900,Sim,0.49279778212025016,-0.05036401125195998
3505906,Batatais,Óbitos totais,59873,Sim,0.6869300214587646,0.02811131889405293
3506003,Bauru,Óbitos totais,391740,Sim,0.8448318786656517,0.012954348752851338
3506102,Bebedouro,Óbitos totais,78210,Sim,0.9613281298203494,-0.003472525763312217
3506201,Bento de Abreu,Óbitos totais,2642,Não,1,3.4641399287372416e-4
3506300,Bernardino de Campos,Óbitos totais,11852,Sim,0.11962343479800484,-0.11505717115778935
3506359,Bertioga,Óbitos totais,66873,Sim,0.9052589016019392,0.008133380308239508
3506409,Bilac,Óbitos totais,7455,Não,0.005050531566879325,0.20780245858079952
3506508,Birigui,Óbitos totais,122988,Sim,0.08681871085063443,0.11595285849643794
3506607,Biritiba Mirim,Óbitos totais,30526,Sim,0.5972134442727196,-0.03807455583534372
3506706,Boa Esperança do Sul,Óbitos totais,13135,Sim,0.8424177743914769,-0.014769432823445349
3506805,Bocaina,Óbitos totais,11467,Sim,0.2399225855156112,0.08685097495226858
3506904,Bofete,Óbitos totais,10688,Não,0.13121984468505388,0.11086730637830611
3507001,Boituva,Óbitos totais,63415,Sim,0.12191441594998186,0.10884636451550048
3507100,Bom Jesus dos Perdões,Óbitos totais,22501,Sim,0.31919801713101814,0.07295141678563219
3507159,Bom Sucesso de Itararé,Óbitos totais,3610,Não,0.970244682296077,-0.0031012878989902675
3507209,Borá,Óbitos totais,928,Não,0.6506392984298162,-0.034288727802507406
3507308,Boracéia,Óbitos totais,4823,Não,0.6606069430921379,0.03320576996931485
3507407,Borborema,Óbitos totais,14415,Não,0.19933273333656545,-0.0931931310512086
3507456,Borebi,Óbitos totais,2787,Não,0.4812590545803714,0.05259607103692505
3507506,Botucatu,Óbitos totais,150442,Sim,0.18698726257054255,-0.08869929792667668
3507605,Bragança Paulista,Óbitos totais,184634,Sim,0.8240064088960728,0.01468565871610684
3507704,Braúna,Óbitos totais,5466,Não,0.8483627702201721,-0.014504491973687823
3507753,Brejo Alegre,Óbitos totais,2605,Não,0.7787069244508327,0.021501225668423534
3507803,Brodowski,Óbitos totais,26167,Sim,0.24263346989008594,0.0861442714191244
3507902,Brotas,Óbitos totais,24423,Sim,0.7015038178454163,-0.02778862762425528
3508009,Buri,Óbitos totais,20674,Sim,0.7979915817730381,-0.019182843816639084
3508108,Buritama,Óbitos totais,17597,Sim,0.8512773209482034,0.013860398830398241
3508207,Buritizal,Óbitos totais,4447,Sim,0.26028312787603924,-0.08390911065901409
3508306,Cabrália Paulista,Óbitos totais,4362,Não,0.4012399765644324,0.06304283863739486
3508405,Cabreúva,Óbitos totais,48473,Sim,0.5666005882900066,0.0414815941629054
3508504,Caçapava,Óbitos totais,99678,Sim,0.11881876592625516,-0.10590119100123468
3508603,Cachoeira Paulista,Óbitos totais,32482,Sim,0.036067402555649795,-0.150572967981208
3508702,Caconde,Óbitos totais,17266,Não,0.6302872611555811,0.035831379256213686
3508801,Cafelândia,Óbitos totais,16905,Sim,0.7212096174030096,-0.026207415995100906
3508900,Caiabu,Óbitos totais,3745,Sim,0.5832144324908082,-0.041141488006561186
3509007,Caieiras,Óbitos totais,98257,Sim,0.6422791701435996,-0.0323555315423061
3509106,Caiuá,Óbitos totais,5585,Não,0.5973541208424976,-0.03954898364792038
3509205,Cajamar,Óbitos totais,97363,Sim,0.05907992696020022,0.12931628072580822
3509254,Cajati,Óbitos totais,29257,Sim,0.12386972235637558,0.10644158815102463
3509304,Cajobi,Óbitos totais,9232,Sim,0.9851169494604616,-0.0017259657340530064
3509403,Cajuru,Óbitos totais,24217,Sim,0.9171202576522914,0.007767211775475897
3509452,Campina do Monte Alegre,Óbitos totais,6077,Sim,0.20317444601766774,-0.09461360099087891
3509502,Campinas,Óbitos totais,1185977,Sim,0.15038089100527163,-0.09117219333466613
3509601,Campo Limpo Paulista,Óbitos totais,79663,Sim,0.19192540131720792,0.09239650615328977
3509700,Campos do Jordão,Óbitos totais,47983,Sim,0.515995035683873,0.04668484797872785
